,ts,type,Market,Side,event,details,ev,strategy
49,2026-03-11T03:38:06.972Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
51,2026-03-11T03:38:05.969Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
50,2026-03-11T03:38:05.969Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
52,2026-03-11T03:38:04.966Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
53,2026-03-11T03:38:04.966Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
54,2026-03-11T03:38:03.963Z,decision,BTC 15m Up/Down,Outcome A,SKIP,Slippage risk high,0,unknown
55,2026-03-11T03:38:03.963Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
56,2026-03-11T03:38:02.959Z,decision,BTC 15m Up/Down,Outcome A,SKIP,Slippage risk high,0,unknown
57,2026-03-11T03:38:02.959Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
58,2026-03-11T03:38:01.955Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
59,2026-03-11T03:38:01.955Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
60,2026-03-11T03:38:00.950Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
61,2026-03-11T03:38:00.950Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
62,2026-03-11T03:37:59.946Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
63,2026-03-11T03:37:59.946Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
65,2026-03-11T03:37:58.944Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
64,2026-03-11T03:37:58.944Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
66,2026-03-11T03:37:57.938Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
67,2026-03-11T03:37:57.938Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
68,2026-03-11T03:37:56.925Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
69,2026-03-11T03:37:56.925Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
70,2026-03-11T03:37:55.921Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
71,2026-03-11T03:37:55.921Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
72,2026-03-11T03:37:54.919Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
73,2026-03-11T03:37:54.919Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
74,2026-03-11T03:37:53.916Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
75,2026-03-11T03:37:53.916Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
77,2026-03-11T03:37:52.912Z,decision,BTC 15m Up/Down,Outcome B,SKIP,Slippage risk high,0,unknown
76,2026-03-11T03:37:52.912Z,decision,BTC 15m Up/Down,Outcome A,QUOTE,,0,unknown
